Source,Destination,Path,PathDelay,PathCost
3,19,3->2->8->12->13->19,23,23
3,19,3->4->5->6->7->14->19,28,28
3,20,3->2->8->12->13->19->20,25,25
3,20,3->4->5->6->7->14->18->21->20,31,31
3,21,3->2->8->12->17->18->21,23,23
3,21,3->4->5->6->7->13->19->20->21,30,30
3,22,3->2->8->12->17->22,20,20
3,22,3->4->5->6->7->14->18->22,27,27
3,23,3->2->8->12->17->23,22,22
3,23,3->4->5->6->7->14->18->23,26,26
4,0,4->3->2->1->0,18,18
4,0,4->5->6->7->8->0,18,18
4,1,4->3->2->1,16,16
4,1,4->5->6->7->8->0->1,20,20
4,2,4->3->2,10,10
4,2,4->5->6->7->8->2,19,19
4,3,4->3,3,3
4,3,4->5->6->7->8->2->3,26,26
4,5,4->5,1,1
4,5,4->3->2->8->7->6->5,28,28
4,6,4->5->6,4,4
4,6,4->3->2->8->7->6,25,25
4,7,4->5->6->7,8,8
4,7,4->3->2->8->7,21,21
4,8,4->5->6->7->8,14,14
4,8,4->3->2->8,15,15
4,9,4->5->6->7->8->12->9,19,19
4,9,4->3->2->1->0->9,23,23
4,10,4->5->6->7->8->12->9->10,26,26
4,10,4->3->2->8->11->10,31,31
4,11,4->5->6->7->8->12->11,22,22
4,11,4->3->2->8->11,25,25
4,12,4->5->6->7->8->12,16,16
4,12,4->3->2->1->0->9->12,26,26
4,13,4->5->6->7->13,15,15
4,13,4->3->2->8->12->13,21,21
4,14,4->5->6->7->14,16,16
4,14,4->3->2->8->14,21,21
4,15,4->5->6->7->8->12->17->15,27,27
4,15,4->3->2->8->14->18->15,34,34
4,16,4->5->6->7->8->12->17->16,22,22
4,16,4->3->2->8->14->18->23->16,32,32
4,17,4->5->6->7->8->12->17,19,19
4,17,4->3->2->8->14->17,27,27
4,18,4->5->6->7->14->18,22,22
4,18,4->3->2->8->12->17->22->18,25,25
4,19,4->5->6->7->13->19,20,20
4,19,4->3->2->8->12->17->22->18->19,30,30
4,20,4->5->6->7->13->19->20,22,22
4,20,4->3->2->8->12->17->22->18->21->20,31,31
4,21,4->5->6->7->14->18->21,23,23
